Nom,Date,ID,Prix,SiteMarchand,FraisDePort
samsung s9,18-12-2020-13-57-05,53993,236.00,FnacDenny,0
samsung s9,18-12-2020-13-57-05,53993,295.00,Darty,0
samsung s9,18-12-2020-13-57-05,54010,259.00,Cdiscount Marketplace,0
samsung s9,18-12-2020-13-57-05,54010,233.75,FnacDenny,0
samsung s9,18-12-2020-13-57-05,54010,258.99,RakutenPortableMall,0
samsung s9,18-12-2020-13-57-05,53993,259.00,Cdiscount Marketplace,0
samsung s9,18-12-2020-13-57-05,54010,295.00,Darty,0
samsung s9,18-12-2020-13-57-05,53993,269.00,Cdiscount Marketplace,0
samsung s9,18-12-2020-13-57-05,53993,299.00,Darty,0
samsung s9,18-12-2020-13-57-05,53993,258.99,RakutenPortableMall,0
samsung s9,18-12-2020-13-57-05,54010,329.00,Darty,0
samsung s9,18-12-2020-13-57-05,54010,309.90,Conforama,0
samsung s9,18-12-2020-13-57-05,53993,280.00,Cdiscount Marketplace,0
samsung s9,18-12-2020-13-57-05,54010,439.90,Orange Mobile,0
samsung s9,18-12-2020-13-57-05,52141,319.99,Rue du commerce,0
samsung s9,18-12-2020-13-57-05,53993,262.99,eBay FR,0
samsung s9,18-12-2020-13-57-05,53993,279.84,FnacSiyu,0
samsung s9,18-12-2020-13-57-05,54010,299.00,Darty,0
samsung s9,18-12-2020-13-57-05,51647,299.00,Cdiscount Marketplace,0
